STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
Uttar Pradesh,GAUTAMBUDH NAGAR,2013,96,107,17,39,0,39,204,150,54,5,3,205,228,3313,2211,1102,199,108,264,1,0,15,31,136,6,164,0,354,2704,8199
Uttar Pradesh,GHAZIABAD,2013,137,119,46,84,0,84,346,289,57,11,10,122,222,3073,2326,747,73,102,386,13,0,91,44,233,0,491,0,384,3163,9150
Uttar Pradesh,GHAZIPUR,2013,50,58,17,22,0,22,108,93,15,6,1,31,52,180,98,82,76,21,88,6,16,223,27,59,1,76,0,119,389,1626
Uttar Pradesh,GONDA,2013,27,33,22,24,0,24,166,149,17,2,0,27,85,207,91,116,59,56,210,3,0,283,32,62,0,4,0,120,920,2342
Uttar Pradesh,GORAKHPUR,2013,124,122,35,87,0,87,337,282,55,14,0,77,194,908,637,271,184,95,331,5,2,402,39,111,0,95,0,297,985,4444
Uttar Pradesh,HAMIRPUR,2013,33,35,13,50,0,50,80,68,12,3,0,21,31,84,27,57,54,20,33,0,2,54,15,117,5,0,0,75,315,1040
Uttar Pradesh,HAPUR,2013,53,81,11,35,0,35,100,71,29,2,0,41,15,417,256,161,45,24,111,2,2,24,21,75,0,52,0,158,570,1839
Uttar Pradesh,HARDOI,2013,65,50,33,28,0,28,145,130,15,1,1,18,61,249,118,131,32,34,68,0,3,244,24,131,0,122,0,309,1272,2890
Uttar Pradesh,HATHRAS,2013,61,65,13,37,0,37,104,86,18,5,1,41,39,405,233,172,74,38,84,0,6,131,21,73,0,76,0,159,661,2094
Uttar Pradesh,JALAUN,2013,31,19,8,7,0,7,63,52,11,0,0,13,32,127,75,52,8,23,50,0,1,143,22,52,0,33,0,125,221,978
Uttar Pradesh,JAUNPUR,2013,50,52,21,53,0,53,132,131,1,1,1,51,90,285,154,131,77,24,95,0,1,281,60,75,0,77,0,201,591,2218
Uttar Pradesh,JHANSI,2013,49,35,20,40,0,40,85,74,11,3,0,22,64,290,200,90,79,20,79,2,7,201,24,72,1,65,0,200,565,1923
Uttar Pradesh,KANNAUJ,2013,33,27,15,16,0,16,86,84,2,0,0,6,32,147,67,80,15,16,46,0,6,1,26,40,0,59,0,160,777,1508
Uttar Pradesh,KANPUR DEHAT,2013,49,20,10,29,0,29,78,74,4,1,0,13,19,107,55,52,34,38,64,0,0,253,32,45,0,67,0,264,908,2031
Uttar Pradesh,KANPUR NAGAR,2013,121,97,22,41,0,41,261,248,13,0,9,72,171,1195,922,273,102,155,393,5,7,228,56,110,0,239,0,498,3278,7060
Uttar Pradesh,KASGANJ,2013,47,52,14,17,0,17,101,89,12,0,0,8,46,163,91,72,45,22,49,0,7,178,24,43,0,27,0,91,405,1339
Uttar Pradesh,KAUSHAMBI,2013,29,22,18,27,0,27,69,56,13,0,0,12,59,92,36,56,20,25,68,0,1,94,22,108,0,67,0,117,750,1600
Uttar Pradesh,KHIRI,2013,88,139,27,49,0,49,204,189,15,2,0,31,67,564,292,272,63,39,121,1,0,467,57,85,0,152,0,282,1149,3587
Uttar Pradesh,KUSHI NAGAR,2013,50,24,27,33,0,33,145,143,2,1,0,17,48,168,108,60,154,33,101,1,13,314,29,66,0,48,0,180,536,1988
Uttar Pradesh,LALITPUR,2013,18,9,14,10,0,10,30,26,4,1,0,10,17,51,21,30,17,14,24,0,4,92,11,50,0,18,0,61,245,696
Uttar Pradesh,LUCKNOW,2013,133,116,22,76,0,76,381,375,6,11,2,69,553,2613,1705,908,165,538,1077,8,4,38,60,360,1,920,0,488,5948,13583
Uttar Pradesh,MAHARAJGANJ,2013,32,17,13,28,0,28,117,116,1,2,0,12,25,99,43,56,48,34,76,2,7,165,23,40,0,58,0,95,476,1369
Uttar Pradesh,MAHOBA,2013,29,18,11,30,0,30,49,45,4,3,0,8,44,81,37,44,24,12,31,1,2,0,16,61,0,26,0,67,325,838
Uttar Pradesh,MAINPURI,2013,71,82,15,20,0,20,165,142,23,3,0,33,108,404,310,94,93,37,84,0,10,204,38,92,0,94,0,231,648,2432
Uttar Pradesh,MATHURA,2013,108,123,22,59,0,59,174,138,36,6,0,70,127,1028,745,283,160,57,236,3,6,241,32,99,0,196,0,414,1225,4386
Uttar Pradesh,MAU,2013,27,41,14,26,0,26,102,94,8,0,0,18,72,243,152,91,94,26,107,0,3,260,11,53,1,94,0,112,191,1495
Uttar Pradesh,MEERUT,2013,238,264,18,109,0,109,357,282,75,14,1,328,283,2740,1938,802,273,80,392,9,9,23,42,277,0,209,0,318,2376,8360
Uttar Pradesh,MIRZAPUR,2013,23,2,9,5,0,5,9,8,1,0,0,4,18,42,18,24,0,32,82,0,0,85,19,5,0,30,0,80,341,786
Uttar Pradesh,MORADABAD,2013,89,78,9,69,0,69,187,173,14,14,7,52,100,715,411,304,68,43,230,1,0,46,27,156,1,299,0,192,1364,3747
Uttar Pradesh,MUZAFFARNAGAR,2013,188,163,13,49,0,49,270,214,56,317,1,134,60,706,404,302,194,74,205,1,11,187,25,125,0,270,0,205,1298,4496
Uttar Pradesh,PILIBHIT,2013,39,22,7,30,0,30,97,91,6,0,0,12,24,117,69,48,7,42,147,3,0,173,35,67,0,125,0,120,1731,2798
Uttar Pradesh,PRATAPGARH,2013,63,116,27,66,0,66,184,157,27,4,1,68,116,332,189,143,250,47,156,2,22,314,30,151,0,39,0,156,1167,3311
Uttar Pradesh,RAIBAREILLY,2013,58,47,13,43,0,43,106,104,2,1,0,19,72,195,91,104,57,41,78,2,2,150,23,66,0,72,0,191,849,2085
Uttar Pradesh,RAMPUR,2013,50,73,11,26,0,26,100,93,7,4,1,29,42,312,132,180,42,31,123,2,0,2,19,46,0,119,0,123,815,1970
